Sample	indicators1	indicators2	indicators3	indicators4	indicators5
970	1	1	1	1	1
980	1	1	1	0	1
990	0	0	0	0	0
1000	0	0	0	0	0
1010	0	1	0	0	0
1020	1	1	1	1	1
1030	0	1	0	0	1
1040	1	1	0	1	0
1050	0	1	0	1	0
1060	1	0	1	1	1
1070	0	1	0	1	1
1080	1	1	0	0	0
1090	0	0	1	1	1
1100	0	0	1	0	1
1110	1	1	1	1	1
1120	0	0	0	0	1
1130	0	0	0	0	0
1140	1	0	1	0	0
1150	1	1	1	1	1
1160	1	1	1	1	1
1170	1	1	1	1	1
1180	1	1	1	1	1
1190	0	0	1	0	1
1200	0	1	0	1	0
1210	1	0	1	0	1
1220	0	1	0	1	1
1230	0	0	0	1	0
1240	0	0	0	0	1
1250	1	1	1	1	1
1260	0	1	1	1	0
1270	1	1	1	1	1
1280	1	1	1	1	1
1290	0	0	0	0	0
1300	0	0	0	0	1
1310	1	1	1	1	1
1320	1	1	1	1	1
1330	0	1	0	1	1
1340	1	0	1	1	0
1350	1	0	1	0	0
1360	0	0	0	0	0
1370	0	1	0	0	0
1380	0	0	0	0	0
1390	0	0	0	0	0
1400	0	0	0	0	0
1410	0	0	1	1	0
1420	0	0	1	1	0
1430	0	0	0	0	1
1440	0	0	0	0	0
1450	0	0	0	0	0
1460	1	1	1	1	0
1470	0	0	0	0	1
1480	0	1	1	0	0
1490	1	1	1	1	1
1500	1	1	1	1	1
1510	1	1	0	0	1
1520	1	1	0	0	1
1530	0	0	0	0	0
1540	0	0	0	0	1
1550	0	0	0	0	0
1560	0	0	0	0	1
1570	0	1	1	0	0
1580	1	1	1	1	1
1590	1	0	0	0	0
1600	1	1	1	1	1
1610	1	0	1	1	0
1620	1	1	1	1	1
1630	1	1	1	1	1
1640	1	1	1	1	1
1650	0	0	1	0	1
1660	0	1	0	1	1
1670	0	0	0	0	1
1680	1	0	1	0	0
1690	1	1	1	1	1
1700	1	1	1	1	1
1710	0	1	0	0	0
1720	1	1	1	1	1
1730	1	1	1	1	1
1740	1	1	1	1	1
1750	1	0	1	1	0
1760	1	0	0	0	0
1770	0	1	1	1	1
1780	0	1	1	0	0
1790	0	0	1	0	0
1800	0	1	1	0	0
1810	1	1	1	1	1
1820	1	1	1	1	1
1830	1	1	1	0	1
1840	1	1	1	1	1
1850	0	0	0	1	1
1860	0	0	0	0	0
1870	0	0	0	0	0
1880	1	0	0	0	0
1890	1	1	0	0	0
1900	1	0	0	0	1
1910	1	1	1	0	1
1920	0	0	0	0	0
1930	0	0	1	1	1
1940	1	1	1	0	0
1950	1	1	0	0	1
1960	1	1	1	1	1
1970	0	0	1	0	0
1980	0	0	1	0	0
1990	0	0	1	1	1
2000	1	1	1	0	1
2010	1	1	1	1	0
2020	1	0	1	0	0
2030	1	0	0	1	1
2040	0	0	0	0	0
2050	1	1	1	1	1
2060	1	1	1	1	0
2070	0	1	0	1	0
2080	0	0	1	1	0
2090	1	1	1	0	0
2100	1	1	0	1	0
2110	1	1	1	1	1
2120	0	1	1	1	1
2130	0	0	0	1	0
2140	1	0	1	1	1
2150	1	1	1	1	1
2160	0	0	0	0	0
2170	0	0	1	0	0
2180	0	1	0	1	1
2190	1	1	1	1	1
2200	1	1	1	0	0
2210	1	1	1	1	1
2220	1	1	1	0	1
2230	1	1	1	1	1
2240	1	1	1	1	1
2250	1	0	0	1	1
2260	0	1	1	0	1
2270	1	0	1	0	0
2280	1	1	1	1	0
2290	0	1	1	0	1
2300	1	1	1	0	1
2310	1	1	1	1	1
2320	0	0	0	0	1
2330	1	0	0	1	0
2340	1	1	1	1	1
2350	1	1	1	1	0
2360	1	1	1	1	1
2370	1	0	1	1	1
2380	1	0	1	0	1
2390	1	1	1	1	1
2400	1	1	1	1	1
2410	1	1	1	1	1
2420	1	0	1	0	1
2430	1	1	1	1	0
2440	1	1	1	1	1
2450	1	1	1	1	0
2460	0	1	1	0	0
2470	1	0	1	0	1
2480	1	0	0	0	0
2490	1	0	0	1	0
2500	1	1	1	1	1
2510	1	1	1	1	1
2520	1	1	1	1	1
2530	1	0	1	1	0
2540	0	0	0	0	0
2550	0	0	1	0	0
2560	1	0	0	0	0
2570	0	1	0	0	1
2580	0	0	0	0	0
2590	1	0	1	1	0
2600	1	1	1	1	0
2610	1	1	1	1	1
2620	1	1	1	1	1
2630	0	0	0	1	1
2640	0	1	1	1	1
2650	0	1	1	1	1
2660	0	0	0	0	1
2670	0	0	0	1	0
2680	0	0	0	0	0
2690	1	1	1	1	0
2700	1	0	0	1	1
2710	1	1	1	1	1
2720	1	1	1	1	1
2730	0	1	1	1	1
2740	0	0	0	0	0
2750	1	0	1	0	0
2760	0	0	0	0	0
2770	0	1	0	1	0
2780	1	0	0	0	0
2790	0	0	1	0	0
2800	1	0	0	0	0
2810	0	0	0	0	0
2820	1	1	1	1	1
2830	1	1	0	1	1
2840	1	1	1	0	1
2850	1	1	1	1	1
2860	0	1	0	1	0
2870	0	0	1	1	0
2880	1	1	0	1	1
2890	1	1	1	1	1
2900	1	1	1	1	1
2910	0	1	1	0	1
2920	1	0	0	0	0
2930	0	0	0	0	0
2940	0	0	1	0	1
2950	0	1	0	1	1
2960	0	0	0	0	0
2970	1	0	0	0	0
2980	1	1	1	1	0
2990	0	0	0	0	0
3000	0	0	0	1	0
3010	1	1	0	1	1
3020	1	1	1	0	0
3030	0	0	0	0	0
3040	1	0	0	0	0
3050	1	1	1	0	0
3060	0	0	0	0	0
3070	1	1	0	0	0
3080	0	1	1	0	0
3090	1	1	1	1	1
3100	1	0	0	1	1
3110	0	0	1	1	0
3120	0	0	0	0	0
3130	0	0	0	1	1
3140	1	1	0	1	1
3150	1	1	1	1	0
3160	0	0	1	0	1
3170	1	1	1	1	1
3180	1	1	1	1	1
3190	0	1	1	1	1
3200	0	0	0	0	0
3210	0	1	0	0	0
3220	0	0	0	0	0
3230	0	0	0	1	0
3240	1	1	0	0	1
3250	0	0	1	1	1
3260	0	0	0	1	0
3270	1	0	1	0	0
3280	0	1	0	1	0
3290	0	0	1	0	1
3300	0	0	0	0	0
3310	0	0	0	0	0
3320	0	0	0	0	0
3330	0	0	0	0	1
3340	0	0	0	0	0
3350	0	0	0	0	0
3360	1	0	0	0	0
3370	0	0	0	1	1
3380	0	0	0	0	0
3390	0	0	0	0	0
3400	0	0	0	0	0
3410	1	1	0	0	0
3420	0	0	0	0	1
3430	1	1	0	1	0
3440	0	0	0	1	0
3450	0	0	1	0	0
3460	1	1	1	1	1
3470	1	0	0	1	0
3480	0	1	0	0	0
3490	1	0	0	0	1
3500	1	1	1	1	1
3510	1	1	1	1	0
3520	1	1	1	1	1
3530	0	0	1	1	0
3540	1	1	1	1	1
3550	1	1	0	0	1
3560	0	0	1	0	0
3570	1	0	0	1	0
3580	0	1	1	1	0
3590	1	1	0	1	1
3600	0	0	1	0	1
3610	1	1	1	0	1
3620	0	0	0	0	1
3630	1	1	1	1	1
3640	1	1	1	1	1
3650	1	1	1	1	1
3660	0	1	0	0	0
3670	1	0	1	1	0
3680	0	0	0	0	0
3690	0	1	1	0	1
3700	0	0	0	1	1
3710	1	1	1	1	1
3720	0	1	0	1	1
3730	0	0	0	0	0
3740	1	1	1	1	1
3750	1	1	1	0	1
3760	1	1	1	0	0
3770	1	1	1	0	1
3780	1	1	0	1	1
3790	0	1	1	1	1
3800	0	0	0	0	0
3810	1	1	0	0	0
3820	0	0	0	0	0
3830	0	0	0	0	0
3840	0	0	0	0	0
3850	0	0	0	0	1
3860	1	1	0	1	0
3870	1	1	1	0	1
3880	0	0	1	1	0
3890	0	0	1	1	1
3900	0	0	1	1	1
3910	1	0	0	1	1
3920	0	0	0	0	1
3930	1	0	1	1	0
3940	0	0	0	1	0
3950	0	1	1	1	0
3960	0	0	0	0	1
3970	1	0	1	0	0
3980	0	0	1	0	1
3990	1	0	1	0	1
4000	1	0	1	1	0
4010	1	1	1	1	1
4020	1	0	0	1	0
4030	1	1	0	0	1
4040	1	1	1	1	1
4050	1	1	1	1	1
4060	0	1	1	1	1
4070	1	1	1	1	1
4080	1	1	1	1	1
4090	1	1	0	1	0
4100	1	1	1	1	1
4110	0	1	0	0	1
4120	0	0	0	0	0
4130	1	1	0	0	1
4140	1	1	0	0	0
4150	0	0	0	0	1
4160	0	0	0	0	0
4170	0	0	0	0	0
4180	1	0	1	0	1
4190	1	0	0	0	1
4200	0	0	0	0	1
4210	0	0	0	1	0
4220	1	0	0	0	1
4230	0	0	1	0	0
4240	1	1	1	0	0
4250	1	0	0	1	0
4260	0	1	0	0	1
4270	0	1	1	1	1
4280	1	1	1	1	1
4290	0	1	1	1	0
4300	1	1	1	0	1
4310	0	0	0	0	1
4320	1	0	0	0	1
4330	0	0	0	0	0
4340	0	1	0	0	0
4350	1	1	1	1	1
4360	1	1	1	1	1
4370	0	1	1	0	1
4380	0	1	1	1	0
4390	1	0	0	0	0
4400	0	0	0	0	0
4410	0	0	0	0	0
4420	1	0	0	0	0
4430	1	1	1	1	1
4440	0	1	1	1	1
4450	0	0	0	0	0
4460	0	0	1	0	0
4470	1	0	0	0	1
4480	1	1	1	1	1
4490	1	1	0	1	0
4500	0	0	1	0	1
4510	0	0	0	0	0
4520	0	0	0	0	0
4530	1	1	1	1	1
4540	1	0	1	1	1
4550	1	1	1	0	1
4560	0	0	0	0	0
4570	0	0	1	0	0
4580	0	0	0	0	1
4590	0	0	1	0	0
4600	0	0	0	0	0
4610	1	0	0	1	0
4620	0	0	1	0	1
4630	0	0	0	0	1
4640	1	1	0	1	0
4650	0	1	1	1	0
4660	0	0	1	0	0
4670	1	1	1	1	0
4680	1	1	1	1	1
4690	1	0	0	0	0
4700	1	1	0	0	1
4710	1	0	1	1	0
4720	1	1	0	0	0
4730	1	1	1	0	1
4740	0	1	1	1	1
4750	0	0	1	0	0
4760	1	1	1	0	0
4770	1	0	1	1	1
4780	0	0	0	0	0
4790	1	1	1	1	0
4800	0	1	0	1	1
4810	1	0	1	0	1
4820	1	1	1	1	1
4830	0	0	0	0	1
4840	1	0	1	0	1
4850	1	0	0	1	1
4860	0	0	0	0	0
4870	0	1	1	1	1
4880	0	0	0	0	0
4890	1	1	0	1	1
4900	1	1	0	1	1
4910	1	1	1	1	1
4920	1	1	0	1	0
4930	0	0	0	0	0
4940	1	1	1	1	1
4950	1	1	0	1	1
4960	1	1	1	1	1
4970	0	1	1	1	0
4980	0	1	0	1	1
4990	1	0	1	1	0
5000	1	1	1	1	1
5010	1	1	1	0	1
5020	0	0	0	0	0
5030	0	0	0	0	0
5040	0	0	0	0	0
5050	0	0	0	1	0
5060	0	0	0	0	1
5070	0	0	0	0	0
5080	0	0	1	1	1
5090	1	0	0	0	0
5100	0	0	0	0	0
5110	1	0	0	0	1
5120	0	0	0	1	0
5130	1	0	0	0	0
5140	0	0	0	0	0
5150	1	0	1	0	0
5160	0	0	1	1	0
5170	0	0	0	0	0
5180	0	0	1	1	1
5190	0	1	1	0	1
5200	0	1	0	1	0
5210	1	0	0	1	0
5220	0	1	1	1	0
5230	0	0	1	1	0
5240	0	1	1	0	0
5250	1	1	0	1	0
5260	1	1	1	0	0
5270	0	0	0	0	0
5280	0	0	0	0	0
5290	1	0	1	1	0
5300	0	1	1	0	0
5310	0	1	1	0	1
5320	1	1	1	1	1
5330	1	1	0	0	1
5340	0	0	0	0	0
5350	0	0	1	0	0
5360	0	0	0	0	0
5370	1	0	0	0	0
5380	1	0	1	0	1
5390	0	1	0	1	1
5400	1	0	0	0	1
5410	0	1	0	1	1
5420	1	1	1	0	1
5430	0	0	1	0	0
5440	1	1	1	0	1
5450	1	0	1	1	1
5460	0	0	0	0	0
5470	0	0	1	0	1
5480	1	1	1	1	1
5490	1	1	0	0	1
5500	1	0	0	1	1
5510	1	0	0	1	1
5520	0	1	1	0	0
5530	1	1	1	0	1
5540	1	0	1	1	1
5550	0	0	0	0	1
5560	1	1	1	1	0
5570	1	1	1	1	1
5580	0	0	1	1	0
5590	0	0	1	1	0
5600	0	0	0	0	0
5610	1	0	0	0	0
5620	0	0	0	0	0
5630	0	0	0	0	0
5640	0	0	0	1	1
5650	0	0	0	0	0
5660	0	0	0	0	0
5670	1	1	0	1	1
5680	1	1	0	1	1
5690	1	1	1	0	1
5700	1	0	1	1	1
5710	1	1	0	1	0
5720	1	1	1	1	1
5730	0	1	0	0	0
5740	0	0	0	0	0
5750	0	0	0	0	0
5760	1	1	1	0	1
5770	0	0	0	1	1
5780	1	1	1	1	1
5790	0	0	1	1	0
5800	0	0	0	0	0
5810	0	0	0	0	0
5820	0	0	0	0	0
5830	0	0	0	0	0
5840	0	1	0	0	0
5850	0	0	1	1	1
5860	0	1	0	0	1
5870	0	0	1	0	0
5880	0	0	0	0	1
5890	0	0	0	1	1
5900	0	0	0	1	1
5910	0	0	0	0	0
5920	0	0	0	0	0
5930	0	0	0	0	0
5940	0	0	0	1	0
5950	0	1	0	1	1
5960	1	0	0	0	1
5970	1	0	0	0	1
5980	0	0	0	1	0
5990	0	1	1	1	1
6000	1	0	1	0	1
6010	1	0	0	1	1
6020	1	1	1	1	1
6030	1	1	1	1	1
6040	0	1	1	1	1
6050	0	1	1	1	1
6060	1	1	1	1	1
6070	0	0	0	0	0
6080	1	1	1	0	1
6090	0	0	0	1	0
6100	1	0	0	0	0
6110	0	0	0	1	0
6120	1	1	1	1	1
6130	0	1	1	1	0
6140	1	1	1	1	1
6150	0	1	1	1	0
6160	1	1	0	0	0
6170	0	0	0	1	0
6180	0	0	1	1	1
6190	1	1	1	1	1
6200	1	1	1	1	1
6210	1	1	1	1	1
6220	1	1	0	0	1
6230	0	0	0	1	0
6240	1	1	0	1	1
6250	0	1	0	0	0
6260	0	0	0	0	0
6270	1	1	0	0	0
6280	0	1	0	1	1
6290	1	0	0	1	1
6300	0	1	1	1	0
6310	1	0	0	0	0
6320	0	0	0	0	0
6330	0	0	0	0	0
6340	1	0	1	1	1
6350	1	1	1	1	1
6360	1	1	1	1	1
6370	0	0	1	1	0
6380	0	0	0	1	0
6390	1	0	1	1	1
6400	1	1	1	1	1
6410	0	0	0	0	1
6420	1	0	0	0	0
6430	1	0	1	1	1
6440	0	0	1	1	1
6450	1	1	1	1	1
6460	1	1	0	1	1
6470	1	1	1	1	1
6480	1	1	0	1	1
6490	1	0	1	0	0
6500	1	1	1	1	1
6510	1	0	1	0	1
6520	0	1	1	0	1
6530	1	0	1	0	0
6540	0	1	0	0	1
6550	0	0	0	1	0
6560	1	1	1	1	0
6570	1	0	0	1	0
6580	1	1	0	0	0
6590	0	1	1	0	1
6600	0	0	0	0	0
6610	0	0	0	0	0
6620	0	0	1	1	0
6630	0	0	1	1	1
6640	0	1	0	1	1
6650	0	0	0	0	0
6660	1	1	0	1	0
6670	0	0	0	0	0
6680	0	0	0	0	1
6690	1	1	1	1	1
6700	1	1	1	1	1
6710	1	1	1	0	1
6720	1	1	1	1	0
6730	1	1	1	1	0
6740	0	1	1	0	1
6750	0	0	0	0	1
6760	1	1	1	1	1
6770	1	1	1	1	1
6780	0	1	0	0	0
6790	0	0	0	0	0
6800	0	0	0	0	0
6810	1	1	0	0	0
6820	0	1	1	1	0
6830	0	0	0	0	1
6840	0	1	0	1	1
6850	1	1	0	1	0
6860	1	0	1	1	1
6870	1	0	0	0	1
6880	1	1	0	0	0
6890	0	0	1	0	1
6900	0	1	0	1	1
6910	1	1	1	0	0
6920	0	1	1	0	0
6930	0	0	1	1	0
6940	0	0	0	0	0
6950	0	0	0	0	0
6960	0	0	1	1	1
6970	1	0	1	1	0
6980	0	1	0	0	0
6990	0	1	0	0	0
7000	0	1	1	1	1
7010	1	1	1	1	1
7020	0	1	0	0	1
7030	1	1	1	1	1
7040	1	0	1	1	1
7050	1	1	1	1	1
7060	0	1	1	0	1
7070	0	0	1	0	1
7080	1	0	0	1	1
7090	1	1	1	1	1
7100	1	1	1	1	1
7110	1	1	1	1	1
7120	1	1	1	0	1
7130	1	0	0	0	0
7140	1	0	1	1	1
7150	1	0	0	0	1
7160	0	0	1	0	0
7170	1	1	1	1	0
7180	1	1	1	1	1
7190	1	1	1	1	1
7200	0	1	0	1	0
7210	0	0	1	0	0
7220	0	1	1	0	0
7230	0	0	0	0	0
7240	0	0	0	0	0
7250	1	1	1	1	1
7260	1	0	1	1	1
7270	1	0	1	0	1
7280	1	1	1	0	0
7290	0	0	1	1	0
7300	1	1	1	0	1
7310	1	1	0	1	0
7320	1	1	1	1	1
7330	1	1	1	1	1
7340	1	1	1	1	1
7350	1	0	1	0	1
7360	1	1	1	1	1
7370	1	0	1	0	0
7380	1	1	0	0	0
7390	1	0	1	0	1
7400	0	0	1	0	0
7410	0	0	0	0	0
7420	1	1	0	1	1
7430	1	1	1	0	1
7440	0	0	1	0	0
7450	0	0	0	0	0
7460	0	0	1	0	0
7470	0	1	1	1	0
7480	0	0	1	0	0
7490	0	0	0	0	0
7500	0	1	0	1	1
7510	0	0	0	0	1
7520	1	1	0	1	1
7530	1	1	0	0	1
7540	1	1	0	1	1
7550	0	1	1	0	0
7560	0	0	0	0	0
7570	1	1	1	1	1
7580	0	0	0	1	0
7590	1	0	0	0	0
7600	1	1	1	1	1
7610	1	1	1	1	1
7620	1	1	0	1	1
7630	1	1	0	1	1
7640	1	1	1	1	1
7650	1	1	1	1	1
7660	1	1	1	1	1
7670	0	1	0	0	1
7680	1	0	0	1	0
7690	0	0	0	1	0
7700	1	0	1	1	1
7710	1	1	1	1	1
7720	1	1	1	1	1
7730	0	0	0	0	0
7740	0	1	0	0	0
7750	0	0	0	0	0
7760	0	1	0	0	0
7770	0	0	0	0	1
7780	0	0	0	1	0
7790	1	0	1	1	0
7800	0	0	0	0	0
7810	0	0	0	1	0
7820	1	1	1	1	1
7830	0	0	1	0	0
7840	0	0	0	1	0
7850	0	1	1	0	1
7860	0	1	0	1	0
7870	0	0	0	0	0
7880	0	0	0	0	0
7890	0	0	0	0	0
7900	0	0	0	0	0
7910	1	0	0	0	0
7920	0	1	1	0	0
7930	0	0	0	0	0
7940	0	0	0	0	0
7950	0	0	0	1	0
7960	0	0	0	0	1
7970	0	0	0	0	1
7980	0	0	1	0	0
7990	1	1	1	0	0
8000	0	0	1	1	0
8010	0	0	0	0	0
8020	1	0	1	0	0
8030	0	0	0	0	1
8040	1	1	1	1	0
8050	1	0	1	0	0
8060	1	0	1	0	1
8070	0	0	0	0	1
8080	0	1	0	1	1
8090	1	0	1	0	0
8100	0	1	0	0	0
8110	1	1	0	1	0
8120	1	1	1	0	1
8130	0	1	0	0	0
8140	1	1	1	1	1
8150	0	0	0	0	0
8160	1	1	1	1	1
8170	0	0	1	1	1
8180	1	1	0	0	1
8190	0	0	1	0	1
8200	1	0	1	1	1
8210	1	1	0	0	1
8220	1	0	1	0	0
8230	1	1	1	0	1
8240	0	1	0	0	0
8250	0	0	0	0	0
8260	0	1	1	0	0
8270	0	0	1	0	1
8280	0	0	0	0	1
8290	1	1	1	1	1
8300	1	1	1	1	1
8310	1	0	1	1	1
8320	0	1	0	1	0
8330	0	0	0	0	0
8340	1	1	1	1	0
8350	1	1	1	1	1
8360	1	1	1	1	0
8370	1	1	1	0	1
8380	1	1	1	1	1
8390	1	1	1	1	1
8400	1	0	0	0	0
8410	1	1	0	1	1
8420	0	0	1	0	1
8430	0	0	0	0	0
8440	0	0	0	0	0
8450	0	0	1	0	0
8460	1	0	0	1	1
8470	0	0	0	0	1
8480	1	1	1	1	0
8490	1	1	1	1	0
8500	0	0	1	1	1
8510	1	1	1	1	1
8520	1	1	1	1	1
8530	1	0	0	1	1
8540	0	0	0	0	0
8550	0	1	1	1	1
8560	1	1	0	0	1
8570	1	1	1	1	1
8580	1	1	1	1	1
8590	0	1	1	1	1
8600	1	1	1	1	1
8610	1	1	1	1	1
8620	0	1	1	0	0
8630	1	1	1	1	1
8640	1	1	0	1	0
8650	0	1	0	0	1
8660	1	1	1	1	0
8670	1	1	1	1	1
8680	0	0	0	0	0
8690	0	0	1	0	0
8700	0	1	0	1	1
8710	0	1	1	0	1
8720	1	1	1	1	1
8730	1	1	1	1	1
8740	0	1	0	0	0
8750	0	0	0	0	0
8760	1	0	0	0	0
8770	1	1	1	1	1
8780	0	0	0	1	0
8790	0	1	1	0	1
8800	1	1	1	1	1
8810	1	0	1	1	1
8820	1	0	1	1	1
8830	1	1	1	1	1
8840	1	1	1	1	1
8850	1	1	1	1	1
8860	1	1	1	1	0
8870	1	1	1	0	1
8880	1	0	1	1	1
8890	1	1	0	1	1
8900	0	0	0	0	0
8910	0	0	0	0	0
8920	0	0	0	0	0
8930	0	0	0	0	0
8940	0	1	0	0	0
8950	0	0	1	1	0
8960	0	0	0	0	0
8970	0	0	0	0	0
8980	0	0	0	0	0
8990	0	1	1	1	1
9000	0	1	1	1	0
9010	1	0	1	1	1
9020	0	0	0	0	0
9030	1	1	0	0	1
9040	1	1	1	1	1
9050	1	1	1	1	1
9060	0	0	1	1	0
9070	1	0	0	0	0
9080	0	0	0	1	0
9090	1	1	1	0	0
9100	1	1	1	1	1
9110	0	0	0	0	0
9120	0	0	1	0	0
9130	0	0	1	0	0
9140	0	1	0	0	0
9150	1	1	1	0	1
9160	0	1	1	0	0
9170	0	0	0	0	0
9180	1	0	1	1	0
9190	1	1	1	1	1
9200	1	1	1	1	1
9210	0	0	1	0	0
9220	0	0	0	0	0
9230	0	0	0	0	0
9240	1	0	1	1	0
9250	1	1	1	1	1
9260	1	1	1	1	1
9270	1	1	1	0	1
9280	1	0	1	0	1
9290	1	1	1	1	1
9300	1	1	0	1	1
9310	1	0	1	0	1
9320	1	1	1	1	1
9330	1	1	1	1	1
9340	0	0	0	0	0
9350	0	1	0	0	0
9360	1	1	1	1	1
9370	1	0	0	0	0
9380	0	0	1	0	0
9390	0	0	0	0	0
9400	0	0	0	0	0
9410	0	1	1	0	0
9420	1	0	0	0	0
9430	1	0	0	0	0
9440	0	0	0	1	0
9450	0	0	1	0	1
9460	0	0	1	1	0
9470	0	0	0	1	0
9480	0	0	0	1	1
9490	0	1	0	1	1
9500	0	0	0	0	1
9510	0	0	1	0	0
9520	0	1	1	0	1
9530	1	1	1	1	1
9540	0	0	0	1	0
9550	0	0	0	0	0
9560	0	1	0	0	0
9570	1	1	0	0	1
9580	0	1	0	0	0
9590	0	0	0	0	0
9600	0	0	0	0	0
9610	1	1	1	0	1
9620	0	0	0	1	1
9630	1	0	0	0	0
9640	1	0	0	0	0
9650	1	0	0	1	1
9660	0	1	1	1	1
9670	1	1	1	1	1
9680	0	1	0	1	1
9690	1	1	0	0	1
9700	1	1	0	0	1
9710	0	0	0	0	0
9720	0	0	0	0	0
9730	1	0	1	1	0
9740	0	1	0	0	0
9750	1	1	0	1	0
9760	0	1	1	1	1
9770	1	1	1	1	1
9780	1	1	1	1	1
9790	1	0	1	1	1
9800	0	0	0	0	1
9810	1	1	1	1	1
9820	0	1	1	1	1
9830	0	0	1	0	1
9840	0	1	1	0	0
9850	0	0	0	0	0
9860	0	0	0	0	0
9870	0	0	0	0	0
9880	1	0	0	0	0
9890	0	0	0	0	1
9900	1	1	0	1	0
9910	0	1	0	0	0
9920	1	1	1	0	1
9930	1	0	1	0	0
9940	1	1	1	0	1
9950	0	1	0	0	0
9960	1	1	1	1	1
9970	1	1	1	1	1
9980	1	0	0	0	1
9990	0	0	1	1	1
10000	1	0	1	1	1
10010	1	0	0	1	1
10020	0	0	1	1	1
10030	0	1	1	1	0
10040	1	1	1	1	1
10050	1	1	1	1	1
10060	1	1	1	1	1
10070	1	1	1	1	1
10080	1	0	0	1	1
10090	1	1	0	1	0
10100	0	0	1	0	1
10110	0	1	0	1	1
10120	0	1	0	0	0
10130	0	0	0	0	0
10140	0	1	0	0	0
10150	0	0	0	1	0
10160	1	1	1	1	1
10170	0	1	0	1	0
10180	0	0	0	0	0
10190	0	0	0	0	0
10200	1	0	1	1	1
10210	0	0	1	0	0
10220	0	1	1	1	0
10230	1	1	1	1	0
10240	0	1	1	1	1
10250	1	1	1	1	0
10260	0	0	0	0	0
10270	0	0	0	0	0
10280	0	0	0	0	0
10290	0	0	0	0	0
10300	1	1	0	1	1
10310	0	1	1	0	1
10320	1	1	1	1	1
10330	1	1	1	0	1
10340	1	1	1	1	1
10350	1	0	1	1	0
10360	0	0	1	0	0
10370	0	0	1	1	1
10380	0	0	0	0	0
10390	0	1	0	0	1
10400	0	0	0	0	1
10410	0	0	0	1	0
10420	1	0	0	1	1
10430	1	0	0	1	1
10440	1	1	1	1	0
10450	0	0	1	0	1
10460	1	1	1	0	0
10470	1	0	1	1	1
10480	0	0	0	0	1
10490	0	0	0	0	0
10500	1	0	1	0	0
10510	1	0	0	1	0
10520	1	1	1	1	1
10530	1	0	1	1	1
10540	0	1	1	0	0
10550	1	1	1	1	1
10560	1	1	1	1	1
10570	0	0	0	0	0
10580	0	0	0	1	0
10590	0	1	0	0	1
10600	1	0	1	1	1
10610	0	1	1	0	0
10620	0	0	0	0	0
10630	0	0	0	0	0
10640	0	0	1	0	0
10650	0	0	1	0	1
10660	1	0	1	0	1
10670	0	1	0	0	1
10680	1	0	1	1	0
10690	1	0	1	1	1
10700	1	0	0	1	0
10710	1	1	1	1	0
10720	1	1	1	1	0
10730	1	1	1	1	1
10740	0	0	1	1	0
10750	1	1	1	1	1
10760	0	0	1	1	1
10770	1	1	0	1	0
10780	0	0	0	0	0
10790	1	0	1	1	0
